Name,Address,Suburb,Postcode,LGA,Licensee,Licensee ABN,Facebook Link,Instagram link,Email Address,Phone Number,Date email 1 sent,Date email 2 sent,Date email 3 sent,Notes,
MOYASHI JAPANESE RESTAURANT,Shop 112&113/127-133 Burwood Road ,BURWOOD,2134,Burwood,AKTA TRADING PTY LTD,28654089568,https://www.facebook.com/profile.php?id=100063749912863,https://www.instagram.com/oishimoyashi/,info@moyashi.com.au,+61 2 8385 4940,5/6/2024,,,Complete details,
The Muglan in Burwood,SHOP 1 11-15 DEANE ST ,BURWOOD,2134,Burwood,EDUVENTURE AUSTRALIA PTY LTD,97152630030,https://www.facebook.com/TheMuglan/,https://www.instagram.com/themuglan/,burwood@themuglan.com.au,(02) 8542 9534,5/6/2024,,,Complete details,
Biwon Strathfield,42 THE BOULEVARDE ,STRATHFIELD,2135,Burwood,Mikyung Choi,,https://www.facebook.com/profile.php?id=100060756885791,https://www.instagram.com/bbqbiwon/,,0481 954 466,,,,No email,
Antique Cherry Cafe,"shop 3, 39 Belmore Street ",BURWOOD,2134,Burwood,ANTIQUE CHERRY CAFE PTY LTD,94655688805,https://www.facebook.com/profile.php?id=100088453534427,https://www.instagram.com/theantiquecherrycafe,,,,,,No email and no phone number but they do have an Instagram Page,
Canton Soul,246 BURWOOD RD ,BURWOOD,2134,Burwood,MYSTERY CHEF PTY LTD,56645275636,,https://www.instagram.com/cantonsoul/?hl=af,,0456 226 888,,,,email couldn't be delivered / they have no other email address,
Casual Korean Restaurant,37 EVERTON RD ,STRATHFIELD,2135,Burwood,Chang Woo Seo,,,https://www.instagram.com/oyako_restaurant/,,02) 9763 2123,,,,No email and website but they do have an Instagram Page,
Edomae Sushi,39-47 Belmore Street ,BURWOOD,2134,Burwood,EDOMAE SUSHI BURWOOD PTY LTD,41647048664,https://www.facebook.com/EdomaeSushiYokocho,https://www.instagram.com/edomaesushi_au/,,+61 2 9745 3368,,,,No email but they do have a website,
Lil Miss Collins,100 BURWOOD RD ,BURWOOD,2134,Burwood,Shweta Tandon,,,https://www.instagram.com/lilmisscollinscafe,,61 2 9744 1001,,,,No email but they do have a website,
Rengaya Casual Dining,"Shop 17-23, 27-31 Belmore Street ",BURWOOD,2134,Burwood,RENGAYA 2020 PTY LTD,50645692333,https://www.facebook.com/rengayacasualdining/,https://www.instagram.com/rengayacasualdining/,,61 499 202 818,,,,No email but they do have a website,
Great Dragon Hot Pot Burwood,53 Burwood Road ,BURWOOD,2134,Burwood,GREAT DRAGON BURWOOD PTY LTD,,https://www.facebook.com/greatdragonhotpotburwood/,https://www.instagram.com/greatdragonhotpotburwood/,,61 451 708 585,,,,No email and no website but they do have an Instagram Page,
HANSANG SYDNEY,Shop 2  8-14 Lyons Street ,STRATHFIELD,2135,Burwood,HAN SANG 8-14 LYONS ST PTY LTD,26658696872,https://www.facebook.com/hansanginsydney/,https://www.instagram.com/hansangsydney/,,61 422 175 454,,,,No email but they do have a website,
The Grand Shanghai Hotel,21-23 Belmore Street ,BURWOOD,2134,Burwood,Kylee Hollywood,,,https://www.instagram.com/thegrandshanghai/,,(02) 9747 5200,,,,No email but has a website and a contact us form page,
Burwood Hotel Sydney Pty Ltd,60 Burwood Road ,BURWOOD,2134,Burwood,SAMIR FAKIH,,https://www.facebook.com/theburwoodhotel/,https://www.instagram.com/theburwoodhotel/,,(02) 9747 5200,,,,No email but has a website and a contact form page,
Spicy Joint Burwood,Shop 10  27-31 Belmore Street ,BURWOOD,2134,Burwood,Jonah Peng,,https://www.facebook.com/spicyjoint,https://www.instagram.com/spicyjointau/,spicyjointsydney@gmail.com,04 4986 7168,5/6/2024,,,Complete details,
Charcoal Fish Chinese Restaurant,242 Burwood Road ,BURWOOD,2134,Burwood,LEEJIZHONG PTY LTD,93154408410,,,,+61 2 8068 1771,,,,No social media account / Temporarily closed,
Butchers Buffet Strathfield,9-13 Parnell St ,STRATHFIELD,2135,Burwood,Butchers Buffet Strathfield Pty Ltd,,https://www.facebook.com/butchersbuffet,https://www.instagram.com/butchersbuffet/,STRATHFIELD@BUTCHERSBUFFET.COM.AU,+61 2 8040 2744,5/6/2024,,,Complete details,
BIWON STRATHFIELD,Level 1 22 The Boulevarde ,STRATHFIELD,2135,Burwood,SAGARMATHA HOLDINGS PTY LTD,66661322505,https://www.facebook.com/profile.php?id=100060756885791,https://www.instagram.com/bbqbiwon/?hl=en,,0481 954 466,,,,No email and has a website,
Yang's Dumpling,Shop 9  11-15 Deane St ,BURWOOD,2134,Burwood,Juan Yao,,https://www.facebook.com/YangsDumplingAustralia/,https://www.instagram.com/yangsdumpling_australia/,,+61 2 8057 7109,,,,No email but has a website for menu,
Legend Hot Pot," shop 25-27, 27-31 Belmore Street",BURWOOD,2134,Burwood,HUA LI SONG,,https://www.facebook.com/LegendHotpotBuffet/,https://www.instagram.com/legendhotpotbuffet/?hl=en,legendhotpotbuffet@gmail.com,(02) 8021 3971,5/6/2024,,,Complete details,
Empire K,Shop 2  11-15 Deane Street ,BURWOOD,2134,Burwood,Jian Zhou,,https://www.facebook.com/empirekaraokesydney,https://www.instagram.com/empirekaraokesydney/,Davidhoang88@hotmail.com,+61 2 8054 1828,5/6/2024,3/6/2024,,Error on sending the email as unavailable / new email address from their FB page,
MIKAZUKI STRATHFIELD,Shops 6 & 7  23-31 Morwick Street ,STRATHFIELD,2135,Burwood,GOOD VENTURE PARTNERS PTY LTD,,https://www.facebook.com/profile.php?id=100059731133867&mibextid=ZbWKwL,https://www.instagram.com/mikazukistrathfield/,bravo6859@gmail.com,(02) 8384 5849,5/6/2024,,,Complete details,
Taste of Shanghai Burwood,Shop 173-175 100 Burwood Road ,BURWOOD,2134,Burwood,Hang Du,,https://www.facebook.com/tasteofshanghaiaus,https://www.instagram.com/tasteofshanghai/,marketing@tasteofshanghai.com.au,(02) 9799 8833,5/6/2024,,,Complete details,
Yakiniku Nikaido Burwood," Shop 3&4, 11-15 Deane St ",BURWOOD,2134,Burwood,JAPAN FOOD SQUARE PTY LTD,72644803467,https://www.facebook.com/NikaidoBurwood/,https://www.instagram.com/nikaidoburwood/,,04 4782 6792,,,,No email but has a website,
Chungking Memories,Shop 1 91 Burwood Road ,BURWOOD,2134,Burwood,Chungking Memories Pty Ltd,,,,,+61 2 8387 7809,,,,No social media account,
2135 vibe,"Shops 4 & 5,  23-31 Morwick Street ",STRATHFIELD,2135,Burwood,YML 2135 PTY LTD,52647325291,https://www.facebook.com/2135vibe/,https://www.instagram.com/2135vibe/,,+61 422 008 811,,,,No email but has a website,
Hook Line & Sinker Oyster Bar,Westfield Burwood Kiosk K13  100 Burwood Road ,BURWOOD,2134,Burwood,Eva Tarlamis,,https://www.facebook.com/HLSfreshseafood/,https://www.instagram.com/hlsfreshseafoodburwood/,,+61 2 9744 7722,,,,No email but has a website,
New Galaxy Entertainment Pty Ltd,27-31 Belmore St ,BURWOOD,2134,Burwood,Yong Ji Zhang,,https://www.facebook.com/newgalaxyktv/,https://www.instagram.com/newgalaxyktv/,,(02) 9119 2799,,,,No email and no website but has a Facebook Page,
Royal Treasure Seafood Restaurant,Level 2 27-31 Belmore Street ,BURWOOD,2134,Burwood,Efrem Wong,,https://www.facebook.com/royaltreasureburwood/,,royaltreasure.sr@gmail.com,+61 2 9747 0288,5/6/2024,,,Complete details,
Maranello's Veloce Croydon Park,127 Georges River Rd ,CROYDON PARK,2133,Burwood,Mario Ranieri,,https://www.facebook.com/maranellosvelocecp/,,info@maranellosveloce.com.au,(02) 8054 8894,5/6/2024,,,Complete details,
CHICKEN V - STRATHFIELD,26 The Boulevarde ,STRATHFIELD,2135,Burwood,Ohyoung Chae,,,https://www.instagram.com/chicken_v_strathfield/,,+61 2 9744 9734,,,,No email and no website but has a Instagram Page,
CHUNGKING HOTPOT,248 Burwood Rd ,BURWOOD,2134,Burwood,Jing ZHOU,,,,,+61 2 9745 2666,,,,No social media account,
Buddha Raksa,135-137 Liverpool Rd ,BURWOOD,2134,Burwood,Worathep Ponggun,,https://www.facebook.com/BuddhaRaksaThaiRestaurant/,,,+61 2 9747 5608,,,,No email but has a website,
Pane e Vino trattoria,21 The Strand ,CROYDON,2132,Burwood,Sang Han Yoon,,https://www.facebook.com/panevinosydney/,https://www.instagram.com/panevino.syd/,eat@panevino.com.au,9744 7452,5/6/2024,,,Complete details,
Xian Eatery,183d Burwood Rd ,BURWOOD,2134,Burwood,XIAN EATERY PTY LTD,26616391210,https://www.facebook.com/p/Xian-Eatery-100031858583463/,https://www.instagram.com/xianeatery/,,+61 2 8056 4600,,,,No email and no website but has an Instagram Page,
JANG TA BAL STRATHFIELD,16 Lyons St ,STRATHFIELD,2135,Burwood,Sarah Chang,,https://www.facebook.com/jang.tabal/,,jermin88@jangtabal.com.au,(+61) 0430 204 240,5/6/2024,3/6/2024,,Error domain not exist of an email / new email address from CAMPSIE / other phone no. (+61) 02 9789 1588,
Event Cinemas,Westfield Shopping Town Shop M003 ,BURWOOD,2134,Burwood,Maria Moccia,,https://www.facebook.com/EventCinemas/,https://www.instagram.com/event_cinemas/,,+61 2 8878 1240,,,,No email but has a website,
Sydney Haejanggook,30 The Boulevarde ,STRATHFIELD,2135,Burwood,SK & L PTY LTD,50673164282,,,,+61 410 836 115,,,,No social media account,
Rene's Restaurant Pizzeria,135 Georges River Rd ,CROYDON PARK,2133,Burwood,Helen Christoforidis,,,https://www.instagram.com/renescp/?hl=en,,+61 2 9798 0105,,,,No email and no website,
K Galaxy,195A Burwood Rd ,BURWOOD,2134,Burwood,Peiqin Chen,,https://www.instagram.com/kgalaxyburwood/,https://www.facebook.com/p/%E7%BA%AFK-K-Galaxy-Karaoke-Burwood-100063664624115/,INFO@KGALAXY.COM.AU,29 744 0007,5/6/2024,,,Complete details,
6SIM,48 The Boulevarde ,STRATHFIELD,2135,Burwood,JNS MANAGEMENT PTY LTD,89659522059,https://www.facebook.com/6SIMBBQ,6simbbq,support@6simbbq.com.au,+61 420 594 592,5/6/2024,,,Complete details,
Hiroba Japanese House,Shop 18 1 Albert Rd ,STRATHFIELD,2135,Burwood,Mi Young Park,,,,,+61 2 9763 1222,,,,No social media account,
Jang Ta Bal,48A The Boulevarde ,STRATHFIELD,2135,Burwood,NANI BABU PTY LTD,42635587174,https://www.facebook.com/jang.tabal/,,jayjoo501@jangtabal.com.au,(+61) 0430 204 240,,,,Complete details. Error domain not exist of an email,
Comfort Inn Suites Burwood,117 Liverpool Rd ,Burwood,2134,Burwood,SUKKAR INVESTMENTS PTY LIMITED,,https://www.facebook.com/comfortburwood/,,info@comfortburwood.com.au,61 2 9744 0521,5/6/2024,,,Complete details,
Zarax Association Limited,"Zarax Cultural Centre, 196A Liverpool Rd ",ENFIELD,2136,Burwood,Tom KOKORIS,,https://www.facebook.com/zaraxassociationnsw/,,zaraxassociation@email.com,,5/6/2024,,,No phone number and no website but has a Facebook Page,
Two Two Chicken Restaurant,2/2 The Boulevarde ,STRATHFIELD,2135,Burwood,Hye KIM,,,,,+61 2 9747 2227,,,,No social media account,
B.B.Q. Seoul Restaurant,52 Mosely St ,STRATHFIELD,2135,Burwood,Eun Ha Byon,,,https://www.instagram.com/seoul.bbq/,seoulbbq2135@gmail.com,+61 2 9701 0608,5/6/2024,,,No website but has a Instagram Page,
Dan Murphy's,312 Parramatta Rd ,BURWOOD,2134,Burwood,Eamon Quirk,,https://www.facebook.com/danmurphys?xd_co_f=M2RiOGYwY2MtZDc1Ni00NjMxLWI4ODktZjM4ZjNiNmY2YzVh,https://www.instagram.com/danmurphys,,1300 72 33 88,,,,No email but has a website,
Taikoo Li,47 Burwood Rd ,BURWOOD,2134,Burwood,PANDA CUISINE PTY LTD,,,,,+61 2 8054 0026,,,,No email and no website,
Sahara,Westfield Shoppingtown Shop 101 Burwood Rd ,BURWOOD,2134,Burwood,Omer Evran,,https://www.facebook.com/SaharaByThePark/,https://www.instagram.com/saharabythepark_/,ayferevran@hotmail.com,+61 2 9747 4540,5/6/2024,,,No website but has a Facebook Page,
The Golden Globe Seafood Restaurant,206-208 Burwood Rd ,BURWOOD,2134,Burwood,SLIVER TERRITORY PTY LTD,55658484318,,,,+61 2 9715 5988,,,,No email and no website but has a Facebook Page,
BEEF LIFE BURWOOD NSW PTY LTD,165 Burwood Rd ,BURWOOD,2134,Burwood,BEEF LIFE BURWOOD NSW PTY LTD,,,,,0487 192 583,,,,No email but has a website,
Croydon Park Chinese Restaurant,159 Georges River Rd ,CROYDON PARK,2133,Burwood,Mook Tong,,https://www.facebook.com/p/Croydon-Park-Chinese-Restaurant-100068761474993/,,,+61 2 9798 9219,,,,No email and no website but has a Facebook Page,
Little Nepal,65 Burwood Rd ,BURWOOD,2134,Burwood,DEVISH PTY LTD,,https://www.facebook.com/p/Little-Nepal-100054424753195/,,,+61 2 9747 5751,,,,No email but has a website,
Goodluck Chinese Restaurant,182 Liverpool Rd ,ENFIELD,2136,Burwood,TASTY BEIJING PTY LTD,34663053790,,,,+61 2 9747 4625,,,,No email and no website,
Little Hunan Burwood,232 Burwood Rd ,BURWOOD,2134,Burwood,Hanxuan Li,,https://www.facebook.com/littlehunan.syd/,https://www.instagram.com/littlehunansyd/,,+61 2 8057 8836,,,,No email and no website but has an Instagram Page,
IL BUCO KITCHEN PTY LTD,142 Liverpool Rd ,ENFIELD,2136,Burwood,Giuseppe D'andrea,,https://www.facebook.com/ilBucoKitchen,https://www.instagram.com/ilbucokitchen,info@ilbucokitchen.com.au,(02) 9744 7397,5/6/2024,,,Complete details,
Club Burwood,97 Burwood Rd ,BURWOOD,2134,Burwood,BURWOOD R S L CLUB LTD,49000975646,https://www.facebook.com/clubburwoodgroup/,https://www.instagram.com/clubburwoodgroup/,info@clubburwoodgroup.com.au,02 8741 2887,5/6/2024,,,Complete details,
Avondale Hotel,Burwood Rd & Railway Cres ,BURWOOD,2134,Burwood,Mark Duggan,,https://www.facebook.com/avondalehotelburwood/,https://www.instagram.com/avondale_hotel/,Elisha.duggan@gmail.com,+61 2 9747 2522,5/6/2024,,,No website but has a Facebook Page,
Strathfield Hotel,27-29 Everton Rd ,STRATHFIELD,2135,Burwood,Haytham Sarieddine,,https://www.facebook.com/strathfieldhotel,,hotel@strathfieldhotel.com.au,(02) 9747 4630,5/6/2024,,,Complete details,
Royal Sheaf Hotel,231 Burwood Rd ,BURWOOD,2134,Burwood,Aaron Smart,,https://www.facebook.com/royalsheaf/,,royalsheafhotel@njmhotels.com.au,+61 2 9660 0599,5/6/2024,,,No website but has a Facebook Page,
Burwood Hotel,Burwood Rd ,BURWOOD,2134,Burwood,Peter Whitfield,,https://www.facebook.com/theburwoodhotel/,https://www.instagram.com/theburwoodhotel/,,(02) 9747 5200,,,,No email but has a Contact Form page on a website,
Croydon Park Club,55 Seymour St ,CROYDON PARK,2133,Burwood,BURWOOD R S L CLUB LTD,49000975646,https://www.facebook.com/clubburwoodgroup/,https://www.instagram.com/clubburwoodgroup/,info@clubburwoodgroup.com.au,02 8741 2886,5/6/2024,,,Complete details,
Burwood RSL Club,96 Shaftesbury Rd ,BURWOOD,2134,Burwood,BURWOOD R S L CLUB LTD,49000975646,https://www.facebook.com/clubburwoodgroup/,https://www.instagram.com/clubburwoodgroup/,info@clubburwoodgroup.com.au,02 8741 2888,5/6/2024,,,Complete details,
The Enfield Boulevarde Hotel,Coronation Pde ,ENFIELD,2136,Burwood,Sean MCDOWELL,,,,,(02) 8789 0610,,,,No email but has a Contact Form page on a website,
Coronation Club Limited,86 Burwood Rd ,BURWOOD,2134,Burwood,CORONATION CLUB LTD,77000191659,https://www.facebook.com/Coro88Club,https://www.instagram.com/coro88_/?hl=en,INFO@CORO88.COM.AU,02 9747 2277,5/6/2024,,,Complete details,
Strathfield Recreation Club Limited,4A Lyons St ,STRATHFIELD,2135,Burwood,STRATHFIELD RECREATION CLUB LTD,67000001178,https://www.facebook.com/strathfieldsportsclub,https://www.instagram.com/strathfield.sports/,enquiries@strathfieldsportsclub.com.au,02 9747 5055,5/6/2024,,,Complete details,
Bath Arms Hotel,Parramatta & Burwood Rds ,BURWOOD,2134,Burwood,DE ANGELIS INVESTMENTS PTY LTD,50001425109,https://www.facebook.com/BathArmsHotel/,https://www.instagram.com/batharmshotel_burwood/,batharms@dhihotels.com.au,(02) 8880 7698,5/6/2024,,,Complete details,
OP Brewery,2 Porter Street ,ORAN PARK,2570,Camden,COLSAN INVESTMENTS PTY LTD,,,,enquiries@oranparkhotel.com.au,,5/6/2024,,,No phone number but has a website,
Gami Chicken & Beer Oran Park,"Shop G.10C, 351 Oran Park ",Oran Park,2570,Camden,JCO ENTERPRISES PTY LTD,95664066111,https://www.facebook.com/GamiChickenAndBeer,https://www.instagram.com/GamiChickenBeer/,,+61 2 4601 4006,,,,No email but they have a website. Additional phone number: +61 2 9550 1818,
Epicure Camden,39 JOHN ST ,CAMDEN,2570,Camden,Renee SILLATO,,https://www.facebook.com/epicurestore/,https://www.instagram.com/epicure_camden/?hl=en,,02 4655 4336,,,,No email but they have a website,
DESI-LICIOUS INDIAN RESTAURANT, T18 108 INGLEBURN RD ,LEPPINGTON,2179,Camden,Gaurav KHARBANDA,,https://www.facebook.com/profile.php?id=100093174282224&mibextid=ZbWKwL,https://www.instagram.com/desilicious2023/,desilicious.leppingtonvillage@gmail.com,02 8041 4950,5/6/2024,,,Complete details,
ULIVO ITALIAN RESTAURANT,T10/108 Ingleburn Road ,LEPPINGTON,2179,Camden,Wael Hanna,,,https://www.instagram.com/ulivo_syd/,info@ulivo.com.au,(02) 9603 5559,5/6/2024,,,Complete details,
Bollywood bites,UNIT 31 13 DIGITARIA DR ,GLEDSWOOD HILLS,2557,Camden,W & Z BROTHERS PTY LTD,77654387863,https://www.facebook.com/p/Bollywood-Bites-100091758357076/,https://www.instagram.com/bollywoodbitesgregoryhills/,gina.lata@hotmail.Com,+61 478 689 357,5/6/2024,,,Complete details,
nARELLAN jETS rUGBY lEAGUE fOOTBALL CLUB INC.,6 PORRENDE ST ,NARELLAN,2567,Camden,Stephen Pike,,https://www.facebook.com/narellanjetsfootballclub/,,narellanjetsrlfc@gmail.com,,5/6/2024,,,No phone number and no website but they do have a Facebook Page,
Oran Park Gregory Hills RLFC,Dick Johnson Drive ,ORAN PARK,2570,Camden,Shane Rendell,,https://www.facebook.com/chargersjrlfc/?locale=ru_RU&paipv=0&eav=Afa5yBtd6tZtJjC6EYWAm7KnE_YRlo9FhQDdm9GqhkGV5PTyTgLrJpSbZ_3wEBYR3kM&_rdr,,secretary@oranparkchargers.com.au,+61 491 644 812,5/6/2024,,,No website but they have a Facebook Page,
Craft and cork,40 LERIDA AV ,CAMDEN,2570,Camden,Benjamin John Margin,,https://www.facebook.com/profile.php?id=100089054276950,https://www.instagram.com/craftandcork/,,,,,,"No email, phone number, and website but they do have an Instagram Page",
Madaline,Shop 23 / 1-15 Murray Street ,CAMDEN,2570,Camden,SAN INTERNATIONAL TRADING PTY LTD,98635590644,,,,+61 411 766 467,,,,No email and no website,
COBBITTY BAKEHOUSE,300 COBBITTY RD ,COBBITTY,2570,Camden,GOODFIELD EVENTS PTY LTD,47112595641,https://www.facebook.com/cobbittybakehouse/,https://www.instagram.com/cobbittybakehouse/,hello@cobbittybakehouse.net.au,+61 414 188 524,5/6/2024,,,Complete details,
Dosa Hut,Shop G06 31A Lasso Road ,GREGORY HILLS,2557,Camden,PATEL HOSPITALITY PTY LTD,88605178765,https://www.facebook.com/dosahutofficial,https://www.instagram.com/dosahutau/,gregoryhills@dosahut.net.au,+61 498 019 019,5/6/2024,,,Complete details,
Ribs & Burgers Gregory Hills,33 VILLAGE CCT ,GREGORY HILLS,2557,Camden,RNB GREGORY HILLS PTY LTD,87648209590,https://www.facebook.com/ribsandburgers/,https://www.instagram.com/ribsandburgers/,info@ribsandburgers.com.au,02 8629 8821,5/6/2024,,,Complete details,
Mad Mex Gregory Hills,"Lot 3, 33 Village Cct ",GREGORY HILLS,2557,Camden,Kristie-Ann HALL,,https://www.facebook.com/madmex/,https://www.instagram.com/madmex?igshid=s4susa376c75,feedback@madmex.com.au,+61 2 4666 0590,5/6/2024,,,Complete details,
West Pennant Hills Cherrybrook Cricket Club,10X Beechworth PDE ,CHERRYBROOK,2126,Camden,PHILLIP HANDO,,https://www.facebook.com/wphccc/,WPHCCC1930,operations@wphccc.com.au,0424 061 761,5/6/2024,,,Complete details and has multiple phone numbers found on website,
El Patron Bar,Tenancy G3 & G4 No. 31 Lasso Road ,GREGORY HILLS,2557,Camden,EL PATRON BAR PTY LTD,94643818606,https://www.facebook.com/elpatrongregoryhills,https://www.instagram.com/elpatrongregoryhills,info@elpatron.com.au,(02) 8859 9977 ,5/6/2024,,,Complete details,
Bella's Pizza House,Shop 8 ? 31 Lasso Road ,GREGORY HILLS,2557,Camden,Massimiliano Macri,,https://www.facebook.com/bellaspizzahouse/,https://www.instagram.com/bellaspizzahouse/,,+61 2 4648 4838,,,,No email,
The Crispy Bird,Shop 1.06 5 Emerald Hills Blvd ,LEPPINGTON,2179,Camden,Jason HOYEK,,https://www.facebook.com/thecrispybird/?paipv=0&eav=AfbvriI7jxyy9kkSUn4VVp1fDR3UPXy5B2DCsQoXU9ua6wO5m7QXCniLVwCOZBu0Vmw&_rdr,the.crispy.bird,info@thecrispybird.com.au,+61 2 9606 7229,5/6/2024,,,Complete details,
Dizys,"Tenancy G10, 31 Lasso Road ",GREGORY HILLS,2557,Camden,EL PATRON BAR PTY LTD,94643818606,,https://www.instagram.com/thecoffeehub_gregoryhills/,reservations@dizys.com.au,(02) 9086 9456,5/6/2024,,,Complete details,
South west rugby league football club,10 CAWDOR RD ,CAMDEN,2570,Camden,Mark Baird,,https://www.facebook.com/southwestrlfc/,,southwestrlfc@gmail.com,+61 412 403 941,5/6/2024,,,Complete details but they don't have a website yet they have a Facebook Page,
Milky Lane Gregory Hills,"Shops 12 & 13, 31 Lasso Road ",GREGORY HILLS,2557,Camden,ML BURGERS PTY LTD,23633890954,https://www.facebook.com/milkylaneofficial/,https://www.instagram.com/milkylaneofficial/,social@milkylane.co,+61 499 925 925,5/6/2024,,,Complete details,
About Face Hair + Makeup + Skin Spa,61 John Street ,CAMDEN,2570,Camden,Trudy Petith,,https://www.facebook.com/aboutface01/,https://www.instagram.com/aboutface01/,hello@aboutface.net.au,02 4655 9711,5/6/2024,,,Complete details,
XS Espresso Gregory Hills,U 4  18 Holborn Circuit ,GLEDSWOOD HILLS,2557,Camden,PAVLOVIC GROUP PTY LTD,,https://www.facebook.com/XS.Espresso,https://www.instagram.com/xsespresso/,support@xsespresso.com.au,+61 2 4647 9548,5/6/2024,,,Complete details,
Rashays Mt Annan,11-13 Main Street ,MOUNT ANNAN,2567,Camden,RASHAYS MOUNT ANNAN PTY LTD,,https://www.facebook.com/Rashayscasualdining/,https://www.instagram.com/rashays/,customerservice@rashays.com,+61 2 9062 5229,5/6/2024,,,Complete details,
POI GregoryHills pty ltd,33 Village Circuit ,GREGORY HILLS,2557,Camden,POI GREGORY HILLS PTY LTD,13632346153,,,,02 9099 4111,,,,No email,
Frango gregory Hills Pty Ltd,U 4  2 Holborn Circuit ,GLEDSWOOD HILLS,2557,Camden,FRANGO GREGORY HILLS PTY LTD,,,,info@frangos.com.au,02 4648 0432,5/6/2024,,,Complete details,
14 North 108 East,Emerald Hills Shoping Village Shop 1.07  5 Emerald Hills Boulevard,LEPPINGTON,2179,Camden,NE ESTATE ENTERPRISE PTY LTD,,https://www.facebook.com/14north108eastsydney,https://www.instagram.com/14north108east_sydney/,14n108e@gmail.com,0401 375 637,5/6/2024,,,Complete details,
Gregory Hills Sports Club Club,Rodeo Rd & Gregory Hills Dr Central Hills Business Park ,GREGORY HILLS,2557,Camden,MOOREBANK SPORTS CLUB LTD,21002081905,https://www.facebook.com/GregoryHillsFC/,,secretary@gregoryhillsfc.org.au,+61 432 513 895,5/6/2024,,,Complete details,
The Taste of India,Shop 117 33 Village Circuit,GREGORY HILLS,2557,Camden,Gaurav KHARBANDA,,https://www.facebook.com/TheTasteOfIndiaGregoryHills/,,thetasteofindia2557@gmail.com,02 9059 0287,5/7/2024,,,Complete details,
Amoretti's Restaurant,Shop 1  338 Camden Valley Way ,NARELLAN,2567,Camden,Marija Moretti,,https://www.facebook.com/p/Amorettis-Narellan-100083481393420/,https://www.instagram.com/amorettis_narellan/,narellan@amorettis.com.au,02 4606 3555,5/7/2024,,,Complete details,
AMANO RISTORANTE E PIZZERIA,"Emerald Hills Shopping Village Shop 2.01, 5 Emerald Hills Boulevard",LEPPINGTON,2179,Camden,Elias Grima,,https://www.facebook.com/amanoristorante,https://www.instagram.com/amanoristorante/,ciao@amanoristorante.com.au,02 9606 2631,5/7/2024,,,Complete details,
CREA Authentic Italian Pizza & Pasta,SHOP 4A 351 ORAN PARK DR ,ORAN PARK,2570,Camden,Teresa Crea,,https://www.facebook.com/creaauthenticitalian/,https://www.instagram.com/creaauthenticitalian/?hl=en,admin@creaauthenticitalian.com.au,(02) 4637 6609,5/7/2024,,,Complete details,
Burnham Grove Estate,Burnham Grove 332 Cawdor Rd,CAWDOR,2570,Camden,M & V SINCLAIR NOMINEES PTY LTD,,https://www.facebook.com/burnhamgroveestate/,https://www.instagram.com/burnham_grove_estate_teahouse/,enquiries@burnhamgroveestate.com.au,02 4655 6582  ,5/7/2024,,,Complete details. Additional Phone Number: 0438 282 420,
Janchi Korean Grill,Shop 2  332a Camden Valley Way ,NARELLAN,2567,Camden,HEE AN KIM,,https://www.facebook.com/JANCHIKOREA,https://www.instagram.com/janchikoreangrill/,janchikorea@gmail.com,0415 440 746,5/7/2024,,,Complete details,
The Greens Gledswood Hills,880 Camden Valley Way ,GLEDSWOOD HILLS,2557,Camden,WESTERN SUBURBS LEAGUE CLUB (CAMPBELLTOWN) LTD,43000841958,,,,+61 1800 113 943,5/7/2024,,,email wasn't delivered / they have no other email address,
Le Bistrot Du Coin,Shop 2  190 Argyle Street ,CAMDEN,2570,Camden,DIRTY BIRD CAMDEN PTY LTD,96636162420,https://www.facebook.com/lebistrotcamden/,https://www.instagram.com/le_bistrot_ducoin/,lebistrot@camdenhg.com.au,0404 983 766,5/7/2024,,,Complete details,
Golden Triangle Sydney,Shop 15  1 Gregory Hills Drive ,GLEDSWOOD HILLS,2557,Camden,Kim Wong,,https://www.facebook.com/goldentrianglesydney,https://www.instagram.com/goldentrianglesydney/,info@goldentrianglesyd.com.au,(02) 4647 8845,5/7/2024,,,Complete details,
OLIVELLO,Shop G01 7 Gregory Hills Dr ,GLEDSWOOD HILLS,2557,Camden,FRANK TARZIA,,https://www.facebook.com/olivellorestaurant,https://www.instagram.com/olivello.restaurant/,enquiries@olivello.com.au,(02) 4622 0812,5/7/2024,,,Complete details,
Orangeville Meat Company,U 2  11 Rodeo Rd ,GREGORY HILLS,2557,Camden,George Assoni,,https://www.facebook.com/OMCBurgersandBar,https://www.instagram.com/omcburgers/,hello@omcburgers.com.au,02 4623 1269,7-May,,,Complete details,
Mad Mex Narellan,Shop 102  326 Camden Valley Way ,NARELLAN,2567,Camden,Md Hossain,,https://www.facebook.com/madmex/,https://www.instagram.com/madmex?igshid=s4susa376c75,feedback@madmex.com.au,+61 2 4631 0150,5/7/2024,,,Complete details,
Cornerstone Deli/Cafe,Shop 8 1197 The Northern Rd ,BRINGELLY,2556,Camden,Agostino Gattellari,,https://www.facebook.com/p/Cornerstone-DeliCaf%C3%A9-100063539654815/,https://www.instagram.com/cornerstone_c/?hl=en,,+61 2 4774 8123,,,,No email and no website but they do have a Facebook Page,
